<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	14:00:00	14276.6940	14318.8140	14269.7000	14277.3970	3512	0	1420
2024.01.02	15:00:00	14277.3590	14282.4810	14258.6330	14258.6780	3529	0	1420
2024.01.02	16:00:00	14258.6650	14258.6650	14212.6510	14212.6510	3537	0	1420
2024.01.02	17:00:00	14212.6270	14216.9540	14173.7240	14173.7240	3534	0	1410
2024.01.02	18:00:00	14173.7200	14196.7560	14173.2190	14173.7940	3535	0	1410
2024.01.02	19:00:00	14173.7680	14175.7880	14149.7820	14173.7050	3544	0	1410
2024.01.02	20:00:00	14173.6880	14173.6880	14136.1020	14166.7360	3532	0	1410
2024.01.02	21:00:00	14166.7290	14177.9310	14138.7120	14173.0100	3530	0	1410
2024.01.02	22:00:00	14173.0010	14198.9710	14159.1390	14179.2270	3520	0	1410
2024.01.02	23:00:00	14179.2210	14179.2210	14144.2700	14153.6920	3521	0	1410
2024.01.03	00:00:00	14153.6700	14180.2120	14145.5120	14145.5120	3530	0	1410
2024.01.03	01:00:00	14145.4920	14145.4920	14097.7290	14097.7290	3518	0	1400
2024.01.03	02:00:00	14097.7040	14104.8080	14065.8850	14065.8850	3532	0	1400
2024.01.03	03:00:00	14065.8820	14079.2000	14053.5550	14073.1320	3520	0	1400
2024.01.03	04:00:00	14073.1210	14073.1210	14030.4290	14030.4290	3535	0	1400
2024.01.03	05:00:00	14030.4200	14117.1640	14029.5460	14095.3980	3548	0	1400
2024.01.03	06:00:00	14095.3750	14127.0760	14093.6920	14113.5010	3545	0	1400
2024.01.03	07:00:00	14113.4690	14133.2160	14094.1040	14094.1040	3531	0	1400
2024.01.03	08:00:00	14094.1010	14133.5320	14082.6930	14128.3800	3534	0	1400
2024.01.03	09:00:00	14128.3410	14176.1840	14125.5850	14170.5640	3522	0	1410
2024.01.03	10:00:00	14170.5350	14206.9860	14160.1130	14203.2060	3536	0	1410
